epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,1.02179,2.51948,5.25896,0.07101,1.22166,0,0,0,0,0,0,0,0,0.000119,0.000119,0.000119,5.95e-05,0.000238
2,2.92581,3.18012,5.76107,0.07275,1.10714,0,0,0,0,0,0,0,0,0.000107219,0.000107219,0.000107219,5.36095e-05,0.000214438
3,4.99809,3.31256,5.5262,0.06896,0.9609,0,0,0,0,0,0,0,0,9.5438e-05,9.5438e-05,9.5438e-05,4.7719e-05,0.000190876
4,6.75586,3.04045,5.59988,0.06904,0.99504,0,0,0,0,0,0,0,0,8.3657e-05,8.3657e-05,8.3657e-05,4.18285e-05,0.000167314
5,8.69652,2.7183,5.667,0.05921,1.00507,0,0,0,0,0,0,0,0,7.1876e-05,7.1876e-05,7.1876e-05,3.5938e-05,0.000143752
6,10.6255,2.95222,5.5777,0.06855,1.02794,0,0,0,0,0,0,0,0,6.0095e-05,6.0095e-05,6.0095e-05,3.00475e-05,0.00012019
7,12.4407,3.31427,5.80991,0.07303,1.01984,0,0,0,0,0,0,0,0,4.8314e-05,4.8314e-05,4.8314e-05,2.4157e-05,9.6628e-05
8,14.3436,2.64017,5.60192,0.05759,0.99904,0,0,0,0,0,0,0,0,3.6533e-05,3.6533e-05,3.6533e-05,1.82665e-05,7.3066e-05
9,16.1496,3.14286,5.26598,0.08652,1.00992,0,0,0,0,0,0,0,0,2.4752e-05,2.4752e-05,2.4752e-05,1.2376e-05,4.9504e-05
10,18.0215,3.6063,5.71487,0.07492,1.02256,0,0,0,0,0,0,0,0,1.2971e-05,1.2971e-05,1.2971e-05,6.4855e-06,2.5942e-05
